i,j,sim
10,25,0.7100488845501461
6,7,0.5631973037546727
24,32,0.3390066576900778
16,24,0.44886861643137044
2,4,0.7113664650045779
10,26,0.7100488845501461
6,8,1.0
24,33,0.11642543533575604
16,25,1.0
2,5,0.6419304707385265
10,27,0.7100488845501461
6,9,0.9059931642485096
24,34,0.44886861643137044
16,26,1.0
2,6,1.0
10,28,0.7015565742480706
6,10,0.7100488845501461
24,35,0.44886861643137044
16,27,1.0
2,7,0.5631973037546727
10,29,0.7100488845501461
6,11,0.958575088530196
25,26,1.0
16,28,0.9220452698481765
2,8,1.0
10,30,0.6330217429988928
6,12,1.0
25,27,1.0
16,29,1.0
2,9,0.9059931642485096
10,31,0.7100488845501461
6,13,0.9059931642485096
25,28,0.9220452698481765
16,30,0.83116838528867
2,10,0.7100488845501461
10,32,0.6654313215747223
6,14,1.0
25,29,1.0
16,31,1.0
2,11,0.958575088530196
10,33,0.36172167265905475
6,15,1.0
25,30,0.83116838528867
16,32,0.7445315120090626
2,12,1.0
10,34,0.7100488845501461
6,16,1.0
25,31,1.0
16,33,0.10506182482244761
2,13,0.9059931642485096
10,35,0.7100488845501461
6,17,0.9059931642485096
25,32,0.7445315120090626
16,34,1.0
2,14,1.0
11,12,0.958575088530196
6,18,1.0
25,33,0.10506182482244761
16,35,1.0
2,15,1.0
11,13,0.9674445157046954
6,19,0.7655174806233216
25,34,1.0
17,18,0.9059931642485096
2,16,1.0
11,14,0.958575088530196
6,20,0.5655450819344512
25,35,1.0
17,19,0.7217337962442159
2,17,0.9059931642485096
11,15,0.958575088530196
6,21,1.0
26,27,1.0
17,20,0.5311745247928564
2,18,1.0
11,16,0.958575088530196
6,22,0.46661932013868973
26,28,0.9220452698481765
17,21,0.9059931642485096
2,19,0.7655174806233216
11,17,0.9674445157046954
6,23,0.3594889274498923
26,29,1.0
17,22,0.545922373957602
2,20,0.5655450819344512
11,18,0.958575088530196
6,24,0.44886861643137044
26,30,0.83116838528867
17,23,0.45436235674931663
2,21,1.0
11,19,0.75456742412998
6,25,1.0
26,31,1.0
17,24,0.41990219182017907
2,22,0.46661932013868973
11,20,0.5569242834224257
6,26,1.0
26,32,0.7445315120090626
17,25,0.9059931642485096
2,23,0.3594889274498923
11,21,0.958575088530196
6,27,1.0
26,33,0.10506182482244761
17,26,0.9059931642485096
2,24,0.44886861643137044
11,22,0.5258959339712204
6,28,0.9220452698481765
26,34,1.0
26,35,1.0
2,25,1.0
11,23,0.39613513261566324
6,29,1.0
17,27,0.9059931642485096
27,28,0.9220452698481765
2,26,1.0
11,24,0.4408182832124321
6,30,0.83116838528867
17,28,0.9674445157046954
27,29,1.0
2,27,1.0
11,25,0.958575088530196
6,31,1.0
17,29,0.9059931642485096
27,30,0.83116838528867
2,28,0.9220452698481765
11,26,0.958575088530196
6,32,0.7445315120090626
17,30,0.9766107372094951
27,31,1.0
2,29,1.0
11,27,0.958575088530196
6,33,0.10506182482244761
17,31,0.9059931642485096
27,32,0.7445315120090626
2,30,0.83116838528867
11,28,0.9634701813179806
6,34,1.0
17,32,0.7180760694335332
27,33,0.10506182482244761
2,31,1.0
2,32,0.7445315120090626
6,35,1.0
17,33,0.0982731061868524
27,34,1.0
11,29,0.958575088530196
2,33,0.10506182482244761
7,8,0.5631973037546727
17,34,0.9059931642485096
27,35,1.0
11,30,0.9115489433419894
2,34,1.0
7,9,0.6397781746670437
17,35,0.9059931642485096
28,29,0.9220452698481765
11,31,0.958575088530196
2,35,1.0
7,10,0.8390120793414438
18,19,0.7655174806233216
28,30,0.9115489433419894
11,32,0.7389921608257862
3,4,0.7113664650045779
7,11,0.6208489680699099
18,20,0.5655450819344512
28,31,0.9220452698481765
11,33,0.09928391540451015
3,5,0.6419304707385265
7,12,0.5631973037546727
18,21,1.0
28,32,0.7389921608257862
11,34,0.958575088530196
3,6,1.0
7,13,0.6397781746670437
18,22,0.46661932013868973
28,33,0.09742879081785723
11,35,0.958575088530196
3,7,0.5631973037546727
7,14,0.5631973037546727
7,15,0.5631973037546727
28,34,0.9220452698481765
12,13,0.9059931642485096
3,8,1.0
18,23,0.3594889274498923
7,16,0.5631973037546727
28,35,0.9220452698481765
12,14,1.0
3,9,0.9059931642485096
18,24,0.44886861643137044
7,17,0.6397781746670437
29,30,0.83116838528867
12,15,1.0
3,10,0.7100488845501461
18,25,1.0
7,18,0.5631973037546727
29,31,1.0
12,16,1.0
3,11,0.958575088530196
18,26,1.0
7,19,0.7938688014529103
29,32,0.7445315120090626
12,17,0.9059931642485096
3,12,1.0
18,27,1.0
7,20,0.3340926051848335
29,33,0.10506182482244761
12,18,1.0
3,13,0.9059931642485096
18,28,0.9220452698481765
7,21,0.5631973037546727
29,34,1.0
29,35,1.0
3,14,1.0
18,29,1.0
7,22,0.7770529122202772
12,19,0.7655174806233216
30,31,0.83116838528867
3,15,1.0
18,30,0.83116838528867
7,23,0.32384693157031663
12,20,0.5655450819344512
30,32,0.6843170642943757
30,33,0.09742879081785721
18,31,1.0
7,24,0.27619017222970677
12,21,1.0
3,16,1.0
30,34,0.83116838528867
18,32,0.7445315120090626
7,25,0.5631973037546727
12,22,0.46661932013868973
3,17,0.9059931642485096
30,35,0.83116838528867
18,33,0.10506182482244761
7,26,0.5631973037546727
12,23,0.3594889274498923
3,18,1.0
3,19,0.7655174806233216
18,34,1.0
7,27,0.5631973037546727
12,24,0.44886861643137044
31,32,0.7445315120090626
3,20,0.5655450819344512
18,35,1.0
7,28,0.6175878616815402
12,25,1.0
31,33,0.10506182482244761
3,21,1.0
19,20,0.4776520409536782
7,29,0.5631973037546727
12,26,1.0
31,34,1.0
3,22,0.46661932013868973
19,21,0.7655174806233216
7,30,0.6465699113556507
12,27,1.0
12,28,0.9220452698481765
12,29,1.0
19,22,0.6699906680316196
7,31,0.5631973037546727
31,35,1.0
3,23,0.3594889274498923
12,30,0.83116838528867
19,23,0.2519661607099463
7,32,0.509444627976726
32,33,0.07657301215769946
3,24,0.44886861643137044
12,31,1.0
19,24,0.37546597049373
7,33,0.3638964102827097
32,34,0.7445315120090626
3,25,1.0
12,32,0.7445315120090626
19,25,0.7655174806233216
19,26,0.7655174806233216
32,35,0.7445315120090626
3,26,1.0
12,33,0.10506182482244761
7,34,0.5631973037546727
19,27,0.7655174806233216
33,34,0.10506182482244761
3,27,1.0
12,34,1.0
7,35,0.5631973037546727
19,28,0.75456742412998
33,35,0.10506182482244761
12,35,1.0
19,29,0.7655174806233216
34,35,1.0
13,14,0.9059931642485096
