i,j,sim
0,69,0.8804957861077007
47,73,0.5661005759511195
29,50,0.5961533722593182
71,78,0.5546802267032785
13,121,0.6392607316229686
0,70,0.8804957861077007
0,71,0.514033135205658
29,51,0.6392607316229686
71,79,1.0
13,122,0.5546802267032785
13,123,1.0
47,74,0.5827655723827667
0,72,0.8080195842751794
29,52,0.7395256008980693
71,80,0.5546802267032785
13,124,0.6392607316229686
47,75,0.5661005759511195
0,73,0.8804957861077007
29,53,0.9164340672699423
71,81,0.8435298919417977
13,125,0.628671845589605
47,76,0.6517292026615257
0,74,0.5779401260287885
0,75,0.8804957861077007
71,82,0.5546802267032785
71,83,1.0
47,77,0.5661005759511195
29,54,0.6392607316229686
0,76,0.8165067098159989
13,126,1.0
71,84,0.9164340672699423
47,78,0.5661005759511195
29,55,0.6392607316229686
0,77,0.8804957861077007
14,15,0.8059038725816559
71,85,0.652146182891977
47,79,0.6382438514603637
29,56,0.6392607316229686
0,78,0.8804957861077007
14,16,0.4308730289625107
71,86,0.9164340672699423
47,80,0.5661005759511195
29,57,0.6392607316229686
0,79,0.514033135205658
14,17,0.6981163104123127
71,87,0.9630053580962163
47,81,0.5967510688383821
29,58,0.5702437798153871
0,80,0.8804957861077007
14,18,0.8059038725816559
71,88,0.5546802267032785
47,82,0.5661005759511195
29,59,0.5961533722593182
0,81,0.5106863250339574
14,19,0.5669897776083854
71,89,0.5546802267032785
47,83,0.6382438514603637
29,60,1.0
0,82,0.8804957861077007
14,20,0.6981163104123127
71,90,1.0
47,84,0.5619923476561317
29,61,0.5198213662320235
29,62,1.0
14,21,0.3768036335998513
71,91,0.9476089557406855
47,85,0.6517292026615257
0,83,0.514033135205658
29,63,0.8829160548818877
14,22,0.4308730289625107
71,92,0.5546802267032785
47,86,0.5619923476561317
0,84,0.5961533722593182
29,64,0.9199106967856712
14,23,0.4308730289625107
71,93,0.7952732302907348
47,87,0.6540296485133408
0,85,0.8165067098159989
29,65,0.5702437798153871
29,66,0.6392607316229686
71,94,0.8879526277285692
47,88,0.5661005759511195
0,86,0.5961533722593182
14,24,0.4308730289625107
29,67,0.7932501027450682
71,95,0.7290541760006951
47,89,0.5661005759511195
0,87,0.5779401260287885
14,25,0.4308730289625107
29,68,0.6392607316229686
71,96,0.9164340672699423
47,90,0.6382438514603637
0,88,0.8804957861077007
14,26,0.4308730289625107
29,69,0.6392607316229686
71,97,0.652146182891977
47,91,0.6313188172319841
0,89,0.8804957861077007
14,27,0.4308730289625107
29,70,0.6392607316229686
71,98,0.5546802267032785
47,92,0.5661005759511195
0,90,0.514033135205658
14,28,0.33636110336577485
29,71,0.9164340672699423
71,99,0.475682835221719
47,93,0.6444002558846638
0,91,0.410872238072936
14,29,0.6981163104123127
29,72,0.738896331534973
71,100,0.5546802267032785
47,94,0.5905036181343799
0,92,0.8804957861077007
14,30,0.6653494951573584
29,73,0.6392607316229686
71,101,0.5546802267032785
47,95,0.5280393384459106
0,93,0.5742591645328071
14,31,0.5669897776083854
29,74,0.9199106967856712
71,102,0.5595191874007788
47,96,0.5619923476561317
0,94,0.48591267134965743
14,32,0.5669897776083854
29,75,0.6392607316229686
71,103,0.5546802267032785
47,97,0.6517292026615257
0,95,0.4611692611047371
14,33,0.4308730289625107
29,76,0.5961533722593182
71,104,0.5546802267032785
47,98,0.5661005759511195
0,96,0.5961533722593182
14,34,0.8524751634079302
29,77,0.6392607316229686
71,105,1.0
47,99,0.4758153055407182
0,97,0.8165067098159989
14,35,0.4308730289625107
29,78,0.6392607316229686
71,106,0.5546802267032785
47,100,0.5661005759511195
0,98,0.8804957861077007
14,36,0.4308730289625107
29,79,0.9164340672699423
71,107,0.5546802267032785
47,101,0.5661005759511195
0,99,0.7610013830041973
14,37,0.9476089557406855
29,80,0.6392607316229686
71,108,0.5595191874007788
47,102,0.5712895476087374
0,100,0.8804957861077007
14,38,0.4308730289625107
14,39,0.4308730289625107
71,109,0.652146182891977
47,103,0.5661005759511195
47,104,0.5661005759511195
29,81,0.7549674298919186
14,40,0.36653931242071724
71,110,0.5546802267032785
0,101,0.8804957861077007
47,105,0.6382438514603637
29,82,0.6392607316229686
14,41,0.6674996633282345
71,111,0.9164340672699423
0,102,0.6718096312541033
47,106,0.5661005759511195
29,83,0.9164340672699423
29,84,1.0
71,112,0.5546802267032785
0,103,0.8804957861077007
47,107,0.5661005759511195
14,42,0.5671593713920321
29,85,0.5961533722593182
71,113,0.8700885383761483
0,104,0.8804957861077007
47,108,0.5712895476087374
14,43,0.5669897776083854
29,86,1.0
71,114,0.9630053580962163
0,105,0.514033135205658
47,109,0.6517292026615257
14,44,0.4308730289625107
29,87,0.9199106967856712
71,115,0.5445930720154666
0,106,0.8804957861077007
47,110,0.5661005759511195
14,45,0.8050148486290356
29,88,0.6392607316229686
71,116,0.9630053580962163
0,107,0.8804957861077007
47,111,0.5619923476561317
14,46,0.6981163104123127
29,89,0.6392607316229686
71,117,0.5546802267032785
0,108,0.6718096312541033
47,112,0.5661005759511195
0,109,0.8165067098159989
14,48,0.4308730289625107
28,78,0.5572314629233605
47,113,0.5733502224772454
69,121,0.6392607316229686
0,110,0.8804957861077007
14,49,0.4308730289625107
29,90,0.9164340672699423
47,114,0.6540296485133408
